date,deflection,temperature,OW1,OW2,T1(1-3),T1(2-4),T2(1-3),T2(2-4),T3(1-3),T3(2-4),T4(1-3),T4(2-4),T5(1-3),T5(2-4),T6(1-3),T6(2-4),number,SO1(1.5),SO1(2.5),SO1(3.5),SO2(0.5),SO2(10.5),SO2(11.0)
100/8/29,587.50 ,32.0 ,-2.65,-7.40,0.000100 ,-0.000080 ,0.000440 ,0.000240 ,-0.000180 ,0.000480 ,-0.000180 ,-0.000260 ,-0.000060 ,-0.000420 ,-0.000180 ,0.000440 ,35282,0,0,0,0,0,0
100/9/26,585.44 ,28.0 ,-2.84,-7.20,0.000140 ,-0.000060 ,0.000440 ,0.000080 ,-0.000060 ,0.000660 ,-0.000120 ,-0.000180 ,-0.000020 ,-0.000420 ,-0.000160 ,0.000460 ,43399,0,0,0,0,0,0
100/10/28,583.40 ,25.0 ,-2.38,-7.00,0.000160 ,-0.000100 ,0.000440 ,0.000040 ,-0.000080 ,0.000680 ,-0.000200 ,-0.000140 ,-0.000040 ,-0.000460 ,-0.000180 ,0.000440 ,59634,0,0,0,0,0,0
100/12/7,594.63 ,31.0 ,-2.10,-7.00,0.000340 ,-0.000120 ,0.000600 ,0.000360 ,-0.000280 ,0.000840 ,-0.000160 ,-0.000020 ,-0.000080 ,-0.000780 ,-0.000120 ,0.000300 ,50826,0,0,0,0,0,0
101/5/31,588.88 ,25.0 ,-1.44,-5.92,0.000300 ,-0.000120 ,0.000720 ,0.000280 ,-0.000180 ,0.000680 ,-0.000220 ,-0.000040 ,-0.000080 ,-0.000720 ,-0.000180 ,0.000260 ,41251,0,0,0,0,0,0
101/6/27,589.53 ,33.0 ,-1.30,-5.68,0.000100 ,-0.000040 ,0.000740 ,0.000260 ,-0.000460 ,0.000940 ,-0.000180 ,-0.000240 ,0.000000 ,-0.000600 ,-0.000400 ,0.000320 ,39462,0,0,0,0,0,0
101/7/26,589.03 ,27.0 ,-2.10,-6.10,0.000280 ,-0.000100 ,0.000560 ,0.000300 ,-0.000220 ,0.000860 ,-0.000200 ,-0.000120 ,0.000000 ,-0.000900 ,-0.000440 ,0.000340 ,31999,0,0,0,0,0,0
101/8/22,588.22 ,29.0 ,-1.54,-5.57,0.000320 ,-0.000120 ,0.000520 ,0.000360 ,-0.000240 ,0.000840 ,-0.000220 ,-0.000080 ,-0.000060 ,-0.000860 ,-0.000420 ,0.000400 ,24841,0,0,0,0,0,0
101/9/6,589.78 ,26.0 ,-1.76,-6.05,0.000220 ,0.000020 ,0.000540 ,0.000300 ,-0.000180 ,0.000940 ,-0.000180 ,-0.000020 ,0.000100 ,-0.000680 ,-0.000300 ,0.000340 ,26023,0,0,0,0,0,0
101/10/26,590.01 ,27.6 ,-1.63,-6.00,0.000240 ,-0.000080 ,0.000640 ,0.000180 ,-0.000280 ,0.000860 ,-0.000200 ,-0.000080 ,0.000040 ,-0.000920 ,-0.000720 ,0.000340 ,29248,0,0,0,0,0,0
101/11/28,588.41 ,18.6 ,-0.80,-6.86,0.000300 ,-0.000100 ,0.000600 ,0.000120 ,-0.000160 ,0.000800 ,-0.000200 ,-0.000020 ,0.000080 ,-0.000940 ,-0.000460 ,0.000340 ,23712,0,0,0,0,0,0
102/1/28,589.31 ,18.5 ,-1.75,-9.40,0.000120 ,-0.000040 ,0.000220 ,0.000300 ,-0.000280 ,0.000900 ,-0.000240 ,-0.000020 ,-0.000200 ,-0.000760 ,-0.000440 ,0.000300 ,29184,0,0,0,0,0,0
102/2/26,587.96 ,20.5 ,-1.85,-8.87,0.000140 ,-0.000080 ,0.000320 ,0.000300 ,-0.000360 ,0.000960 ,-0.000260 ,-0.000120 ,-0.000200 ,-0.000700 ,-0.000460 ,0.000380 ,35282,0,0,0,0,0,0
102/3/26,583.94 ,20.8 ,-2.05,-8.92,0.000100 ,0.000020 ,0.000260 ,0.000180 ,-0.000400 ,0.000940 ,-0.000220 ,-0.000180 ,-0.000140 ,-0.000900 ,-0.000220 ,0.000240 ,43399,0,0,0,0,0,0
